seed,method,accuracy,precision,recall,f1,auc
2101,temperature-only,0.8518333333333333,0.6616161616161617,0.2576204523107178,0.3708421797593772,0.617137796531807
2101,any-violation,0.9371666666666667,0.774442538593482,0.887905604719764,0.8273018781493358,0.9175630772946602
2101,weighted-score,0.9473333333333334,0.8291079812206573,0.8682399213372665,0.8482228626320846,0.931868648389776
2102,temperature-only,0.855,0.7157190635451505,0.21421421421421422,0.32973805855161786,0.5983724176085704
2102,any-violation,0.9436666666666667,0.8018264840182648,0.8788788788788788,0.8385864374403056,0.9177437785716129
2102,weighted-score,0.9521666666666667,0.8625254582484725,0.8478478478478478,0.8551236749116607,0.9291220834912096
2103,temperature-only,0.8681666666666666,0.6751592356687898,0.23529411764705882,0.34897119341563787,0.609560556693343
2103,any-violation,0.9411666666666667,0.7560747663551401,0.897891231964484,0.8209030948756976,0.9233523624031088
2103,weighted-score,0.954,0.8258602711157456,0.8790233074361821,0.8516129032258064,0.9376925117958539
2104,temperature-only,0.8668333333333333,0.7261538461538461,0.24947145877378435,0.37136113296616835,0.6162812659221214
2104,any-violation,0.9378333333333333,0.7725975261655567,0.8583509513742071,0.8132198297446169,0.9055308377765376
2104,weighted-score,0.947,0.8264033264033264,0.8403805496828752,0.8333333333333334,0.9167760909450661
2105,temperature-only,0.862,0.688953488372093,0.24739039665970772,0.3640552995391705,0.6136971361233696
2105,any-violation,0.9446666666666667,0.7919776119402985,0.8862212943632568,0.8364532019704434,0.9209964068008271
2105,weighted-score,0.9545,0.8505629477993859,0.8674321503131524,0.8589147286821706,0.9334212655447891
2106,temperature-only,0.8546666666666667,0.6624365482233503,0.261,0.3744619799139168,0.6201039999999999
2106,any-violation,0.9355,0.7705207413945278,0.873,0.8185654008438819,0.9105
2106,weighted-score,0.942,0.8075471698113208,0.856,0.8310679611650486,0.9233269
2107,temperature-only,0.873,0.7904191616766467,0.27615062761506276,0.40930232558139534,0.634278184611403
2107,any-violation,0.9418333333333333,0.7761601455868972,0.8922594142259415,0.8301703163017031,0.9217442987069437
2107,weighted-score,0.9558333333333333,0.8640674394099052,0.8577405857740585,0.8608923884514436,0.9345922202608675
2108,temperature-only,0.8631666666666666,0.723404255319149,0.24586776859504134,0.36700077101002315,0.6159613596946484
2108,any-violation,0.941,0.7688266199649737,0.9070247933884298,0.8322274881516588,0.9272802822268064
2108,weighted-score,0.9508333333333333,0.8213944603629417,0.8884297520661157,0.8535980148883374,0.9401628133663562
2109,temperature-only,0.8561666666666666,0.6770538243626062,0.24190283400809717,0.3564504101416853,0.6103133855265581
2109,any-violation,0.9378333333333333,0.7767776777677767,0.8734817813765182,0.8222963315864698,0.9120002681822734
2109,weighted-score,0.9456666666666667,0.8219844357976653,0.8552631578947368,0.8382936507936508,0.9243938030508156
2110,temperature-only,0.8665,0.6867088607594937,0.23612622415669204,0.351417004048583,0.6087795557453476
2110,any-violation,0.9408333333333333,0.7665406427221172,0.8824809575625681,0.8204350025290845,0.9169342398519394
2110,weighted-score,0.95,0.8282078472958643,0.8498367791077258,0.8388829215896885,0.9285512670794073
2111,temperature-only,0.866,0.7091988130563798,0.2529100529100529,0.37285491419656785,0.6163980343208831
2111,any-violation,0.94,0.7666362807657247,0.8899470899470899,0.8237022526934378,0.9196520810764135
2111,weighted-score,0.9516666666666667,0.8278278278278278,0.8751322751322751,0.8508230452674898,0.9331327880091482
2112,temperature-only,0.8591666666666666,0.6758409785932722,0.23020833333333332,0.3434343434343434,0.6041075562169312
2112,any-violation,0.9378333333333333,0.7685269899359561,0.875,0.8183146614710181,0.9124007936507936
2112,weighted-score,0.9486666666666667,0.8374741200828157,0.8427083333333333,0.8400830737279336,0.9240635333994708
2113,temperature-only,0.8703333333333333,0.7614678899082569,0.2623814541622761,0.390282131661442,0.6232028671095395
2113,any-violation,0.9431666666666667,0.7846441947565543,0.8830347734457323,0.8309370352007932,0.9187496179642044
2113,weighted-score,0.9533333333333334,0.8409785932721713,0.8693361433087461,0.8549222797927462,0.929419812538034
2114,temperature-only,0.8616666666666667,0.6913946587537092,0.2429614181438999,0.3595679012345679,0.6103728363808842
2114,any-violation,0.9433333333333334,0.7790802524797115,0.9009384775808134,0.8355899419729207,0.9261685048090538
2114,weighted-score,0.9551666666666667,0.8542094455852156,0.867570385818561,0.8608380755302638,0.9402291201718381
2115,temperature-only,0.8668333333333333,0.6666666666666666,0.257360959651036,0.37136113296616835,0.6171761410530665
