threshold,accuracy,precision,recall,f1,auc,seed
0.05756078947368382,0.9473333333333334,0.8291079812206573,0.8682399213372665,0.8482228626320846,0.931868648389776,2101
0.07494319999999995,0.9521666666666667,0.8625254582484725,0.8478478478478478,0.8551236749116607,0.9291220834912096,2102
0.06571085877192948,0.954,0.8258602711157456,0.8790233074361821,0.8516129032258064,0.9376925117958539,2103
0.06195991999999996,0.947,0.8264033264033264,0.8403805496828752,0.8333333333333334,0.9167760909450661,2104
0.06634799999999998,0.9545,0.8505629477993859,0.8674321503131524,0.8589147286821706,0.9334212655447891,2105
0.05355376666666672,0.942,0.8075471698113208,0.856,0.8310679611650486,0.9233269,2106
0.08575066666666661,0.9558333333333333,0.8640674394099052,0.8577405857740585,0.8608923884514436,0.9345922202608675,2107
0.05456680000000002,0.9508333333333333,0.8213944603629417,0.8884297520661157,0.8535980148883374,0.9401628133663562,2108
0.05487378947368422,0.9456666666666667,0.8219844357976653,0.8552631578947368,0.8382936507936508,0.9243938030508156,2109
0.06600112499999995,0.95,0.8282078472958643,0.8498367791077258,0.8388829215896885,0.9285512670794073,2110
0.06339612631578924,0.9516666666666667,0.8278278278278278,0.8751322751322751,0.8508230452674898,0.9331327880091482,2111
0.0769204599999999,0.9486666666666667,0.8374741200828157,0.8427083333333333,0.8400830737279336,0.9240635333994708,2112
0.058649111111111145,0.9533333333333334,0.8409785932721713,0.8693361433087461,0.8549222797927462,0.929419812538034,2113
0.07828132777777759,0.9551666666666667,0.8542094455852156,0.867570385818561,0.8608380755302638,0.9402291201718381,2114
0.0795195022222221,0.9508333333333333,0.8417582417582418,0.8353326063249727,0.8385331143951834,0.9224363032761931,2115
0.06093987999999992,0.9475,0.8257059396299903,0.8617886178861789,0.8433615116857285,0.9288138728426759,2116
0.07581470175438597,0.9541666666666667,0.8737166324435318,0.8484546360917248,0.860900354071826,0.9257931628368845,2117
0.05918218666666667,0.949,0.8156312625250501,0.8696581196581197,0.8417786970010341,0.9309732855348969,2118
0.05422266666666668,0.9411666666666667,0.806949806949807,0.8452982810920121,0.825679012345679,0.9192833400492628,2119
0.06496680000000003,0.9523333333333334,0.8382502543234995,0.8664563617245006,0.8521199586349535,0.9354866993266202,2120
